src,time,filename
cache,0.007,alexnet.pdf
fs,0.040,alexnet.pdf
db,0.025,alexnet.pdf
cache,0.008,alexnet.pdf
fs,0.020,alexnet.pdf
db,0.016,alexnet.pdf
cache,0.010,alexnet.pdf
fs,0.031,alexnet.pdf
db,0.027,alexnet.pdf
cache,0.013,alexnet.pdf
fs,0.040,alexnet.pdf
db,0.023,alexnet.pdf
cache,0.012,alexnet.pdf
fs,0.035,alexnet.pdf
db,0.025,alexnet.pdf
cache,0.012,alexnet.pdf
fs,0.042,alexnet.pdf
db,0.026,alexnet.pdf
cache,0.010,alexnet.pdf
fs,0.033,alexnet.pdf
db,0.025,alexnet.pdf
cache,0.014,alexnet.pdf
fs,0.029,alexnet.pdf
db,0.024,alexnet.pdf
cache,0.010,alexnet.pdf
fs,0.038,alexnet.pdf
db,0.025,alexnet.pdf
cache,0.008,alexnet.pdf
fs,0.029,alexnet.pdf
db,0.025,alexnet.pdf
cache,0.011,alexnet.pdf
fs,0.020,alexnet.pdf
db,0.020,alexnet.pdf
cache,0.015,alexnet.pdf
fs,0.039,alexnet.pdf
db,0.022,alexnet.pdf
cache,0.010,alexnet.pdf
fs,0.035,alexnet.pdf
db,0.025,alexnet.pdf
cache,0.012,alexnet.pdf
fs,0.026,alexnet.pdf
db,0.020,alexnet.pdf
cache,0.009,alexnet.pdf
fs,0.027,alexnet.pdf
db,0.022,alexnet.pdf
cache,0.010,alexnet.pdf
fs,0.040,alexnet.pdf
db,0.026,alexnet.pdf
cache,0.010,alexnet.pdf
fs,0.031,alexnet.pdf
db,0.028,alexnet.pdf
cache,0.010,alexnet.pdf
fs,0.030,alexnet.pdf
db,0.022,alexnet.pdf
cache,0.009,alexnet.pdf
fs,0.036,alexnet.pdf
db,0.021,alexnet.pdf
cache,0.011,alexnet.pdf
fs,0.034,alexnet.pdf
db,0.022,alexnet.pdf
cache,0.010,alexnet.pdf
fs,0.040,alexnet.pdf
db,0.023,alexnet.pdf
